"priority","status","iam_prefix","service","reviewed_on","evidence","notes"
"P0","queued","ram","AWS Resource Access Manager (RAM)","","",""
"P0","queued","rds","Amazon RDS","","",""
"P0","queued","rds-db","Amazon RDS IAM Authentication","","",""
"P0","queued","redshift","Amazon Redshift","","",""
"P0","queued","redshift-data","Amazon Redshift Data API","","",""
"P0","queued","resource-groups","AWS Resource Groups","","",""
"P0","queued","rolesanywhere","AWS Identity and Access Management Roles Anywhere","","",""
"P0","queued","route53","Amazon Route 53","","",""
"P0","queued","route53domains","Amazon Route 53 Domains","","",""
"P0","queued","s3","Amazon S3","","",""
"P0","queued","s3-object-lambda","Amazon S3 Object Lambda","","",""
"P0","queued","sagemaker","Amazon SageMaker","","",""
"P0","queued","sagemaker-geospatial","Amazon SageMaker geospatial capabilities","","",""
"P0","queued","scheduler","Amazon EventBridge Scheduler","","",""
"P0","queued","secretsmanager","AWS Secrets Manager","","",""
"P0","queued","signer","AWS Signer","","",""
"P0","queued","sns","Amazon SNS","","",""
"P0","queued","sqs","Amazon SQS","","",""
"P0","queued","ssm","AWS Systems Manager","","",""
"P0","queued","ssmmessages","Amazon Message Gateway Service","","",""
"P0","queued","sso","AWS IAM Identity Center","","",""
"P0","queued","sso-directory","AWS IAM Identity Center directory","","",""
"P0","queued","states","AWS Step Functions","","",""
"P0","queued","storagegateway","AWS Storage Gateway","","",""
"P0","queued","sts","AWS Security Token Service","","",""
"P0","queued","tag","Amazon Resource Group Tagging API","","",""
"P0","queued","workspaces","Amazon WorkSpaces","","",""
"P0","queued","workspaces-web","Amazon WorkSpaces Secure Browser","","",""
"P1","queued","a2c","AWS App2Container","","",""
"P1","queued","access-analyzer","AWS IAM Access Analyzer","","",""
"P1","queued","aco-automation","AWS Compute Optimizer Automation","","",""
"P1","queued","agentaccess-mcp","Amazon WorkSpaces AgentAccess MCP Server","","",""
"P1","queued","airflow","Amazon Managed Workflows for Apache Airflow","","",""
"P1","queued","airflow-serverless","AWS MWAA Serverless","","",""
"P1","queued","amplify","AWS Amplify","","",""
"P1","queued","amplifybackend","AWS Amplify Admin","","",""
"P1","queued","amplifyuibuilder","AWS Amplify UI Builder","","",""
"P1","queued","aoss","Amazon OpenSearch Serverless","","",""
"P1","queued","app-integrations","Amazon AppIntegrations","","",""
"P1","queued","application-autoscaling","AWS Application Auto Scaling","","",""
"P1","queued","application-signals","Amazon CloudWatch Application Signals","","",""
"P1","queued","application-signals-mcp","Amazon CloudWatch Application Signals MCP Server","","",""
"P1","queued","application-transformation","AWS Application Transformation Service","","",""
"P1","queued","applicationinsights","Amazon CloudWatch Application Insights","","",""
"P1","queued","apprunner","AWS App Runner","","",""
"P1","queued","appsync","AWS AppSync","","",""
"P1","queued","apptest","AWS Mainframe Modernization Application Testing","","",""
"P1","queued","aps","Amazon Managed Service for Prometheus","","",""
"P1","queued","arc-zonal-shift","Amazon Application Recovery Controller - Zonal Shift","","",""
"P1","queued","arsenal","Application Discovery Arsenal","","",""
"P1","queued","artifact","AWS Artifact","","",""
"P1","queued","auditmanager","AWS Audit Manager","","",""
"P1","queued","aws-marketplace","AWS Marketplace / AWS Marketplace Catalog / AWS Marketplace Deployment Service / AWS Marketplace Discovery / AWS Marketplace Entitlement Service / AWS Marketplace Image Building Service / AWS Marketplace Metering Service / AWS Marketplace Private Marketplace / AWS Marketplace Procurement Systems Integration / AWS Marketplace Reporting / AWS Marketplace Seller Reporting","","",""
"P1","queued","aws-marketplace-management","AWS Marketplace Management Portal","","",""
"P1","queued","b2bi","AWS B2B Data Interchange","","",""
"P1","queued","backup-gateway","AWS Backup Gateway","","",""
"P1","queued","backup-search","AWS Backup Search","","",""
"P1","queued","backup-storage","AWS Backup storage","","",""
"P1","queued","bcm-data-exports","AWS Billing And Cost Management Data Exports","","",""
"P1","queued","billing","AWS Billing","","",""
"P1","queued","budgets","AWS Budget Service","","",""
"P1","queued","ce","AWS Cost Explorer Service","","",""
"P1","queued","chime","Amazon Chime","","",""
"P1","queued","clouddirectory","Amazon Cloud Directory","","",""
"P1","queued","cloudfront","Amazon CloudFront","","",""
"P1","queued","cloudtrail-data","AWS CloudTrail Data","","",""
"P1","queued","cloudwatch","Amazon CloudWatch","","",""
"P1","queued","codeartifact","AWS CodeArtifact","","",""
"P1","queued","codecatalyst","Amazon CodeCatalyst","","",""
"P1","queued","codeguru-security","Amazon CodeGuru Security","","",""
"P1","queued","compute-optimizer","AWS Compute Optimizer","","",""
"P1","queued","cur","AWS Cost and Usage Report","","",""
"P1","queued","dataexchange","AWS Data Exchange","","",""
"P1","queued","datapipeline","AWS Data Pipeline","","",""
"P1","queued","datasync","AWS DataSync","","",""
"P1","queued","datazone","Amazon DataZone","","",""
"P1","queued","dbqms","Database Query Metadata Service","","",""
"P1","queued","detective","Amazon Detective","","",""
"P1","queued","discovery","AWS Application Discovery Service","","",""
"P1","queued","dlm","Amazon Data Lifecycle Manager","","",""
"P1","queued","dms","AWS Database Migration Service","","",""
"P1","queued","docdb-elastic","Amazon DocumentDB Elastic Clusters","","",""
"P1","queued","ds","AWS Directory Service","","",""
"P1","queued","ds-data","AWS Directory Service Data","","",""
"P1","queued","ecr","Amazon Elastic Container Registry","","",""
"P1","queued","ecr-public","Amazon Elastic Container Registry Public","","",""
"P1","queued","elasticache","Amazon ElastiCache","","",""
"P1","queued","elasticbeanstalk","AWS Elastic Beanstalk","","",""
"P1","queued","elasticmapreduce","Amazon Elastic MapReduce","","",""
"P1","queued","emr-containers","Amazon EMR on EKS (EMR Containers)","","",""
"P1","queued","emr-serverless","Amazon EMR Serverless","","",""
"P1","queued","firehose","Amazon Kinesis Firehose","","",""
"P1","queued","grafana","Amazon Managed Grafana","","",""
"P1","queued","greengrass","AWS IoT Greengrass / AWS IoT Greengrass V2","","",""
"P1","queued","guardduty","Amazon GuardDuty","","",""
"P1","queued","health","AWS Health APIs and Notifications","","",""
"P1","queued","identity-sync","AWS Identity Sync","","",""
"P1","queued","identitystore-auth","AWS Identity Store Auth","","",""
"P1","validated","imagebuilder","Amazon EC2 Image Builder","2026-09-08","CreateComponent published v2 beneath a recipe's x.x.x component reference; StartImagePipelineExecution resolved v2 and ran it under the existing instance profile without iam:PassRole or pipeline-update access.","Caller was denied Organizations access but retrieved build output containing the instance-role ARN and organization metadata. Removing either action denied its operation. Requires a wildcard component reference, writable component name, runnable pipeline, and useful instance-profile privilege."
"P1","queued","inspector2","Amazon Inspector2","","",""
"P1","queued","iot","AWS IoT","","",""
"P1","queued","iotanalytics","AWS IoT Analytics","","",""
"P1","queued","iotevents","AWS IoT Events","","",""
"P1","queued","iotfleethub","AWS IoT Fleet Hub for Device Management","","",""
"P1","queued","iotfleetwise","AWS IoT FleetWise","","",""
"P1","queued","iotmanagedintegrations","AWS IoT Managed Integrations","","",""
"P1","queued","iotwireless","AWS IoT Wireless","","",""
"P1","queued","kafka","Amazon Managed Streaming for Apache Kafka","","",""
"P1","queued","kafka-cluster","Apache Kafka APIs for Amazon MSK clusters","","",""
"P1","queued","kinesis","Amazon Kinesis Data Streams","","",""
"P1","queued","kinesisanalytics","Amazon Kinesis Analytics / Amazon Kinesis Analytics V2","","",""
"P1","queued","kinesisvideo","Amazon Kinesis Video Streams","","",""
"P1","queued","lex","Amazon Lex / Amazon Lex V2","","",""
"P1","queued","lightsail","Amazon Lightsail","","",""
"P1","queued","logs","Amazon CloudWatch Logs","","",""
"P1","queued","machinelearning","Amazon Machine Learning","","",""
"P1","queued","macie2","Amazon Macie","","",""
"P1","queued","marketplacecommerceanalytics","AWS Marketplace Commerce Analytics Service","","",""
"P1","queued","mediaconvert","AWS Elemental MediaConvert","","",""
"P1","queued","mediapackage","AWS Elemental MediaPackage","","",""
"P1","queued","mediastore","AWS Elemental MediaStore","","",""
"P1","queued","mediatailor","AWS Elemental MediaTailor","","",""
"P1","queued","memorydb","Amazon MemoryDB","","",""
"P1","queued","mgn","AWS Application Migration Service","","",""
"P1","queued","mobileanalytics","Amazon Mobile Analytics","","",""
"P1","queued","neptune-db","Amazon Neptune","","",""
"P1","queued","neptune-graph","Amazon Neptune Analytics","","",""
"P1","queued","network-firewall","AWS Network Firewall","","",""
"P1","queued","network-security-director","AWS Shield network security director","","",""
"P1","queued","networkflowmonitor","Network Flow Monitor","","",""
"P1","queued","networkmanager","AWS Network Manager","","",""
"P1","queued","networkmanager-chat","AWS Network Manager Chat","","",""
"P1","queued","networkmonitor","Amazon CloudWatch Network Synthetic Monitor","","",""
"P1","queued","oam","Amazon CloudWatch Observability Access Manager","","",""
"P1","queued","odb","AWS Service - Oracle Database@AWS","","",""
"P1","queued","opsworks","AWS OpsWorks","","",""
"P1","queued","opsworks-cm","AWS OpsWorks Configuration Management","","",""
"P1","queued","pca-connector-ad","AWS Private CA Connector for Active Directory","","",""
"P1","queued","polly","Amazon Polly","","",""
"P1","queued","private-networks","AWS service providing managed private networks","","",""
"P1","queued","proton","AWS Proton","","",""
"P1","queued","qapps","Amazon Q Business Q Apps","","",""
"P1","queued","qbusiness","Amazon Q Business","","",""
"P1","queued","quicksight","Amazon QuickSight","","",""
"P1","queued","rds-data","Amazon RDS Data API","","",""
"P1","queued","redshift-serverless","Amazon Redshift Serverless","","",""
"P1","queued","resource-explorer-2","AWS Resource Explorer","","",""
"P1","queued","rum","AWS CloudWatch RUM","","",""
"P1","queued","sagemaker-data-science-assistant","Amazon SageMaker data science assistant","","",""
"P1","queued","security-ir","AWS Security Incident Response","","",""
"P1","queued","securityagent","AWS Security Agent","","",""
"P1","queued","securityhub","AWS Security Hub","","",""
"P1","queued","securitylake","Amazon Security Lake","","",""
"P1","queued","serverlessrepo","AWS Serverless Application Repository","","",""
"P1","validated","servicecatalog","AWS Service Catalog","2026-09-08","CreateProvisioningArtifact + ProvisionProduct executed an attacker-controlled CloudFormation artifact under an existing launch-constraint role without caller iam:PassRole; both missing-permission controls denied.","Requires control of a non-shared product artifact source, portfolio access, and a launch role capable of the template's actions. DisableTemplateValidation=true removed cloudformation:ValidateTemplate from the minimum caller chain."
"P1","queued","ses","Amazon Pinpoint Email Service / Amazon SES / Amazon Simple Email Service - Mail Manager / Amazon Simple Email Service v2","","",""
"P1","queued","shield","AWS Shield","","",""
"P1","queued","sms-voice","AWS End User Messaging SMS and Voice V2 / Amazon Pinpoint SMS and Voice Service","","",""
"P1","queued","snowball","AWS Snowball","","",""
"P1","queued","social-messaging","AWS End User Messaging Social","","",""
"P1","queued","sso-oauth","AWS IAM Identity Center OIDC service","","",""
"P1","queued","support","AWS Support","","",""
"P1","queued","swf","Amazon Simple Workflow Service","","",""
"P1","queued","synthetics","Amazon CloudWatch Synthetics","","",""
"P1","queued","thinclient","Amazon WorkSpaces Thin Client","","",""
"P1","queued","timestream","Amazon Timestream","","",""
"P1","queued","timestream-influxdb","Amazon Timestream InfluxDB","","",""
"P1","queued","tnb","AWS Telco Network Builder","","",""
"P1","queued","transcribe","Amazon Transcribe","","",""
"P1","queued","transfer","AWS Transfer Family","","",""
"P1","queued","translate","Amazon Translate","","",""
"P1","queued","trustedadvisor","AWS Trusted Advisor","","",""
"P1","queued","verifiedpermissions","Amazon Verified Permissions","","",""
"P1","queued","vpc-lattice","Amazon VPC Lattice","","",""
"P1","queued","wafv2","AWS WAF V2","","",""
"P1","queued","wam","Amazon WorkSpaces Application Manager","","",""
"P1","queued","wickr","AWS Wickr","","",""
"P1","queued","workdocs","Amazon WorkDocs","","",""
"P1","queued","workmail","Amazon WorkMail","","",""
"P1","queued","workmailmessageflow","Amazon WorkMail Message Flow","","",""
"P1","queued","workspaces-instances","AWS WorkSpaces Managed Instances","","",""
"P1","queued","xray","AWS X-Ray","","",""
"P2","queued","a4b","Alexa for Business","","",""
"P2","queued","action-recommendations","AWS Action Recommendations","","",""
"P2","queued","activate","AWS Activate","","",""
"P2","queued","agent-registry","AWS Agent Registry","","",""
"P2","queued","aidevops","AWS DevOps Agent Service","","",""
"P2","queued","aiops","Amazon AI Operations","","",""
"P2","queued","appconfig","AWS AppConfig","","",""
"P2","queued","appfabric","AWS AppFabric","","",""
"P2","queued","appflow","Amazon AppFlow","","",""
"P2","queued","appmesh","AWS App Mesh","","",""
"P2","queued","appmesh-preview","AWS App Mesh Preview","","",""
"P2","queued","appstudio","AWS App Studio","","",""
"P2","queued","arc-region-switch","Amazon ARC Region switch","","",""
"P2","queued","autoscaling-plans","AWS Auto Scaling","","",""
"P2","queued","aws-external-anthropic","Claude Platform on AWS","","",""
"P2","queued","aws-portal","AWS Billing Console","","",""
"P2","queued","awsconnector","AWS Connector Service","","",""
"P2","queued","bcm-dashboards","AWS Billing and Cost Management Dashboards","","",""
"P2","queued","bcm-pricing-calculator","AWS Billing And Cost Management Pricing Calculator","","",""
"P2","queued","bcm-recommended-actions","AWS Billing And Cost Management Recommended Actions","","",""
"P2","queued","bedrock-mantle","Amazon Bedrock Powered by AWS Mantle","","",""
"P2","queued","bedrock-websearch","Amazon Bedrock Web Search","","",""
"P2","queued","billingconductor","AWS Billing Conductor","","",""
"P2","queued","braket","Amazon Braket","","",""
"P2","queued","bugbust","AWS BugBust","","",""
"P2","queued","cases","Amazon Connect Cases","","",""
"P2","queued","cassandra","Amazon Keyspaces (for Apache Cassandra)","","",""
"P2","queued","chatbot","AWS Chatbot","","",""
"P2","queued","cleanrooms","AWS Clean Rooms","","",""
"P2","queued","cleanrooms-ml","AWS Clean Rooms ML","","",""
"P2","queued","cloud9","AWS Cloud9","","",""
"P2","queued","cloudfront-keyvaluestore","Amazon CloudFront KeyValueStore","","",""
"P2","queued","cloudhsm","AWS CloudHSM","","",""
"P2","queued","cloudsearch","Amazon CloudSearch","","",""
"P2","queued","cloudshell","AWS CloudShell","","",""
"P2","queued","codedeploy-commands-secure","AWS CodeDeploy secure host commands service","","",""
"P2","queued","codeguru","Amazon CodeGuru","","",""
"P2","queued","codeguru-profiler","Amazon CodeGuru Profiler","","",""
"P2","queued","codeguru-reviewer","Amazon CodeGuru Reviewer","","",""
"P2","queued","codestar","AWS CodeStar","","",""
"P2","queued","codestar-connections","AWS CodeStar Connections","","",""
"P2","queued","codestar-notifications","AWS CodeStar Notifications","","",""
"P2","queued","codewhisperer","Amazon CodeWhisperer","","",""
"P2","queued","cognito-sync","Amazon Cognito Sync","","",""
"P2","queued","comprehend","Amazon Comprehend","","",""
"P2","queued","comprehendmedical","Amazon Comprehend Medical","","",""
"P2","queued","connect-campaigns","Amazon Connect Outbound Campaigns","","",""
"P2","queued","consoleapp","AWS Console Mobile App","","",""
"P2","queued","consolidatedbilling","AWS Consolidated Billing","","",""
"P2","queued","controlcatalog","AWS Control Catalog","","",""
"P2","queued","cost-optimization-hub","AWS Cost Optimization Hub","","",""
"P2","queued","customer-verification","AWS Customer Verification Service","","",""
"P2","queued","databrew","AWS Glue DataBrew","","",""
"P2","queued","dax","Amazon DynamoDB Accelerator (DAX)","","",""
"P2","queued","deadline","AWS Deadline Cloud","","",""
"P2","queued","devicefarm","AWS Device Farm","","",""
"P2","queued","devops-guru","Amazon DevOps Guru","","",""
"P2","queued","directconnect","AWS Direct Connect","","",""
"P2","queued","drs","AWS Elastic Disaster Recovery","","",""
"P2","queued","dsql","Amazon Aurora DSQL","","",""
"P2","queued","ebs","Amazon Elastic Block Store","","",""
"P2","queued","ec2-instance-connect","Amazon EC2 Instance Connect","","",""
"P2","queued","ecs-mcp","Amazon ECS MCP Service","","",""
"P2","queued","eks-mcp","Amazon EKS MCP Server","","",""
"P2","queued","elasticfilesystem","Amazon Elastic File System","","",""
"P2","queued","elastictranscoder","Amazon Elastic Transcoder","","",""
"P2","queued","elemental-activations","AWS Elemental Appliances and Software Activation Service","","",""
"P2","queued","elemental-appliances-software","AWS Elemental Appliances and Software","","",""
"P2","queued","elemental-inference","AWS Elemental Inference","","",""
"P2","queued","elemental-support-cases","AWS Elemental Support Cases","","",""
"P2","queued","elemental-support-content","AWS Elemental Support Content","","",""
"P2","queued","entityresolution","AWS Entity Resolution","","",""
"P2","queued","eventsbilltoaws","AWS reInvent event pass amount charge to customer AWS account","","",""
"P2","queued","evidently","Amazon CloudWatch Evidently","","",""
"P2","queued","evs","Amazon Elastic VMware Service","","",""
"P2","queued","finops-agent","AWS FinOps Agent","","",""
"P2","queued","finspace","Amazon FinSpace","","",""
"P2","queued","finspace-api","Amazon FinSpace API","","",""
"P2","queued","fis","AWS Fault Injection Service","","",""
"P2","queued","fms","AWS Firewall Manager","","",""
"P2","queued","forecast","Amazon Forecast","","",""
"P2","queued","frauddetector","Amazon Fraud Detector","","",""
"P2","queued","freertos","Amazon FreeRTOS","","",""
"P2","queued","freetier","AWS Free Tier","","",""
"P2","queued","gamelift","Amazon GameLift Servers","","",""
"P2","queued","gameliftstreams","Amazon GameLift Streams","","",""
"P2","queued","geo","Amazon Location","","",""
"P2","queued","geo-maps","Amazon Location Service Maps","","",""
"P2","queued","geo-places","Amazon Location Service Places","","",""
"P2","queued","geo-routes","Amazon Location Service Routes","","",""
"P2","queued","glacier","Amazon S3 Glacier","","",""
"P2","queued","globalaccelerator","AWS Global Accelerator","","",""
"P2","queued","groundstation","AWS Ground Station","","",""
"P2","queued","groundtruthlabeling","Amazon GroundTruth Labeling","","",""
"P2","queued","health-agent","Amazon Connect Health","","",""
"P2","queued","healthlake","AWS HealthLake","","",""
"P2","queued","honeycode","Amazon Honeycode","","",""
"P2","queued","importexport","AWS Import Export Disk Service","","",""
"P2","queued","inspector","Amazon Inspector","","",""
"P2","queued","inspector-scan","Amazon InspectorScan","","",""
"P2","queued","inspector2-telemetry","Amazon Inspector2 Telemetry Channel","","",""
"P2","queued","interconnect","AWS Interconnect","","",""
"P2","queued","internetmonitor","Amazon CloudWatch Internet Monitor","","",""
"P2","queued","invoicing","AWS Invoicing Service","","",""
"P2","queued","iot-device-tester","AWS IoT Device Tester","","",""
"P2","queued","iotdeviceadvisor","AWS IoT Core Device Advisor","","",""
"P2","queued","iotjobsdata","AWS IoT Jobs DataPlane","","",""
"P2","queued","iotsitewise","AWS IoT SiteWise","","",""
"P2","queued","iottwinmaker","AWS IoT TwinMaker","","",""
"P2","queued","iq","AWS IQ","","",""
"P2","queued","iq-permission","AWS IQ Permissions","","",""
"P2","queued","ivs","Amazon Interactive Video Service","","",""
"P2","queued","ivschat","Amazon Interactive Video Service Chat","","",""
"P2","queued","kafkaconnect","Amazon Managed Streaming for Kafka Connect","","",""
"P2","queued","kendra","Amazon Kendra","","",""
"P2","queued","kendra-ranking","Amazon Kendra Intelligent Ranking","","",""
"P2","queued","lakeformation","AWS Lake Formation","","",""
"P2","queued","launchwizard","AWS Launch Wizard","","",""
"P2","queued","license-manager","AWS License Manager","","",""
"P2","queued","license-manager-linux-subscriptions","AWS License Manager Linux Subscriptions Manager","","",""
"P2","queued","license-manager-user-subscriptions","AWS License Manager User Subscriptions","","",""
"P2","queued","lookoutequipment","Amazon Lookout for Equipment","","",""
"P2","queued","lookoutmetrics","Amazon Lookout for Metrics","","",""
"P2","queued","lookoutvision","Amazon Lookout for Vision","","",""
"P2","queued","m2","AWS Mainframe Modernization Service","","",""
"P2","queued","managedblockchain","Amazon Managed Blockchain","","",""
"P2","queued","managedblockchain-query","Amazon Managed Blockchain Query","","",""
"P2","queued","mapcredits","AWS Migration Acceleration Program Credits","","",""
"P2","queued","mechanicalturk","Amazon Mechanical Turk","","",""
"P2","queued","mediaconnect","AWS Elemental MediaConnect","","",""
"P2","queued","mediaimport","AmazonMediaImport","","",""
"P2","queued","medialive","AWS Elemental MediaLive","","",""
"P2","queued","mediapackage-vod","AWS Elemental MediaPackage VOD","","",""
"P2","queued","mediapackagev2","AWS Elemental MediaPackage V2","","",""
"P2","queued","medical-imaging","AWS HealthImaging","","",""
"P2","queued","mgh","AWS Migration Hub","","",""
"P2","queued","migrationhub-orchestrator","AWS Migration Hub Orchestrator","","",""
"P2","queued","migrationhub-strategy","AWS Migration Hub Strategy Recommendations","","",""
"P2","queued","mobiletargeting","Amazon Pinpoint","","",""
"P2","queued","monitron","Amazon Monitron","","",""
"P2","queued","mpa","Multi-party approval","","",""
"P2","queued","mq","Amazon MQ","","",""
"P2","queued","nimble","Amazon Nimble Studio","","",""
"P2","queued","notifications","AWS User Notifications","","",""
"P2","queued","notifications-contacts","AWS User Notifications Contacts","","",""
"P2","queued","nova-act","Amazon Nova Act","","",""
"P2","queued","observabilityadmin","Amazon CloudWatch Observability Admin Service","","",""
"P2","queued","omics","AWS HealthOmics","","",""
"P2","queued","one","Amazon One Enterprise","","",""
"P2","queued","osis","Amazon OpenSearch Ingestion","","",""
"P2","queued","outposts","AWS Outposts","","",""
"P2","queued","panorama","AWS Panorama","","",""
"P2","queued","partnercentral","AWS Partner Central","","",""
"P2","queued","partnercentral-account-management","AWS Partner central account management","","",""
"P2","queued","payment-cryptography","AWS Payment Cryptography","","",""
"P2","queued","payments","AWS Payments","","",""
"P2","queued","pca-connector-scep","AWS Private CA Connector for SCEP","","",""
"P2","queued","pcs","AWS Parallel Computing Service","","",""
"P2","queued","personalize","Amazon Personalize","","",""
"P2","queued","pi","AWS Performance Insights","","",""
"P2","queued","pricing","AWS Price List","","",""
"P2","queued","pricingplanmanager","AWS PricingPlanManager Service","","",""
"P2","queued","profile","Amazon Connect Customer Profiles","","",""
"P2","queued","purchase-orders","AWS Purchase Orders Console","","",""
"P2","queued","q","Amazon Q","","",""
"P2","queued","qdeveloper","Amazon Q Developer","","",""
"P2","queued","qldb","Amazon QLDB","","",""
"P2","queued","rbin","AWS Recycle Bin","","",""
"P2","queued","refactor-spaces","AWS Migration Hub Refactor Spaces","","",""
"P2","queued","rekognition","Amazon Rekognition","","",""
"P2","queued","repostspace","AWS rePost Private","","",""
"P2","queued","researchstudio","Amazon Bio Discovery","","",""
"P2","queued","resiliencehub","AWS Resilience Hub","","",""
"P2","queued","resource-explorer","Tag Editor","","",""
"P2","queued","rhelkb","Amazon RHEL Knowledgebase Portal","","",""
"P2","queued","robomaker","AWS RoboMaker","","",""
"P2","queued","route53-recovery-cluster","Amazon Route 53 Recovery Cluster","","",""
"P2","queued","route53-recovery-control-config","Amazon Route 53 Recovery Controls","","",""
"P2","queued","route53-recovery-readiness","Amazon Route 53 Recovery Readiness","","",""
"P2","queued","route53globalresolver","AWS Route53 Global Resolver","","",""
"P2","queued","route53profiles","Amazon Route 53 Profiles","","",""
"P2","queued","route53resolver","Amazon Route 53 Resolver","","",""
"P2","queued","rtbfabric","AWS RTB Fabric","","",""
"P2","queued","s3-outposts","Amazon S3 on Outposts","","",""
"P2","queued","s3express","Amazon S3 Express","","",""
"P2","queued","s3files","Amazon S3 Files","","",""
"P2","queued","s3tables","Amazon S3 Tables","","",""
"P2","queued","s3vectors","Amazon S3 Vectors","","",""
"P2","queued","sagemaker-mlflow","Amazon SageMaker with MLflow","","",""
"P2","queued","sagemaker-unified-studio-mcp","Amazon SageMaker Unified Studio MCP","","",""
"P2","queued","savingsplans","AWS Savings Plans","","",""
"P2","queued","schemas","Amazon EventBridge Schemas","","",""
"P2","queued","scn","AWS Supply Chain","","",""
"P2","queued","sdb","Amazon SimpleDB","","",""
"P2","queued","servicediscovery","AWS Cloud Map","","",""
"P2","queued","serviceextract","AWS Microservice Extractor for .NET","","",""
"P2","queued","servicequotas","Service Quotas","","",""
"P2","queued","signin","AWS Signin","","",""
"P2","queued","simspaceweaver","AWS SimSpace Weaver","","",""
"P2","queued","sms","AWS Server Migration Service","","",""
"P2","queued","snow-device-management","AWS Snow Device Management","","",""
"P2","queued","sqlworkbench","AWS SQL Workbench","","",""
"P2","queued","ssm-contacts","AWS Systems Manager Incident Manager Contacts","","",""
"P2","queued","ssm-guiconnect","AWS Systems Manager GUI Connect","","",""
"P2","queued","ssm-incidents","AWS Systems Manager Incident Manager","","",""
"P2","queued","ssm-quicksetup","AWS Systems Manager Quick Setup","","",""
"P2","queued","ssm-sap","AWS Systems Manager for SAP","","",""
"P2","queued","support-console","AWS Support Console","","",""
"P2","queued","supportapp","AWS Support App in Slack","","",""
"P2","queued","supportauthz","AWS Support Authorization","","",""
"P2","queued","supportplans","AWS Support Plans","","",""
"P2","queued","sustainability","AWS Sustainability","","",""
"P2","queued","tax","AWS Tax Settings","","",""
"P2","queued","textract","Amazon Textract","","",""
"P2","queued","tiros","AWS Tiros","","",""
"P2","queued","transform","AWS Transform","","",""
"P2","queued","transform-custom","AWS Transform custom","","",""
"P2","queued","ts","AWS Diagnostic tools","","",""
"P2","queued","user-subscriptions","AWS User Subscriptions","","",""
"P2","queued","uxc","AWS User Experience Customization","","",""
"P2","queued","vendor-insights","AWS Marketplace Vendor Insights","","",""
"P2","queued","verified-access","AWS Verified Access","","",""
"P2","queued","voiceid","Amazon Connect Voice ID","","",""
